#{"t_start": 1768252628.9654167, "env_id": "CustomHopper-source-v0"}
r,l,t
4.396631,12,3.093462
5.056817,18,3.167381
24.154613,24,3.26328
13.173204,16,3.331844
5.930325,11,3.378801
41.778089,57,3.611181
7.128287,11,3.65666
4.360969,10,3.693275
4.240993,22,3.786347
12.27501,15,3.84883
47.125309,56,4.076481
6.041313,23,4.171974
19.54179,22,4.264567
3.699273,12,4.306531
5.24395,9,4.342412
1.379805,14,4.401423
-0.424922,20,4.492125
7.691433,19,4.568165
7.975421,20,4.644712
5.03628,10,4.680044
6.691696,16,4.743847
9.032155,26,4.848968
19.458489,22,4.93443
13.378617,28,5.049956
6.987344,20,5.128883
17.983703,30,5.253822
6.782308,11,5.299495
4.139155,13,5.349692
6.149714,10,5.385027
8.058821,15,5.445712
9.683069,13,5.499853
11.328374,30,5.625173
16.828374,27,5.733763
53.34282,49,5.940377
25.679224,45,6.120616
13.613083,22,6.204046
15.418026,18,6.279927
16.986384,20,6.361828
7.42786,13,6.417298
9.806341,17,6.489897
6.511215,11,6.533891
2.897666,9,6.569761
15.977299,19,6.647011
6.726752,16,6.717364
7.087814,11,6.760797
33.696153,24,6.862656
11.19153,20,6.943398
11.981146,19,7.027128
8.294992,11,7.069144
15.729248,22,7.161952
116.010344,62,7.40918
12.333799,16,7.476748
8.2948,14,7.539217
51.183272,34,7.678261
0.712371,12,7.729204
6.116303,11,7.773166
11.050817,13,7.832177
5.517477,9,7.868063
8.002552,15,7.927568
7.819482,18,7.99948
17.768956,19,8.078788
13.545332,20,8.159272
8.357825,14,8.220108
7.014613,12,8.269544
6.259615,22,8.362876
6.206576,16,8.427992
9.125957,18,8.50156
11.69232,16,8.563299
8.650325,20,8.637809
21.026666,31,8.765883
4.888533,9,8.799121
7.995769,11,8.845505
2.42503,11,8.888159
11.843612,14,8.944717
5.777209,12,8.992122
5.286381,15,9.054354
7.322337,13,9.104712
26.367952,25,9.201583
4.807367,8,9.23363
16.60247,15,9.29965
11.39131,13,9.347835
0.309194,20,9.434226
6.231907,23,9.53435
10.805323,13,9.586716
14.4958,16,9.651731
10.059647,17,9.720164
10.505458,27,9.832539
5.132557,9,9.869396
4.973064,10,9.907714
7.459297,11,9.95497
7.948147,11,9.994908
5.355197,11,10.03888
5.499866,12,10.092351
72.592925,52,10.3159
1.465158,15,10.37888
18.675552,33,10.510668
13.035868,19,10.59183
33.874868,27,10.69914
6.674886,19,10.771361
3.592641,16,10.83358
19.898291,23,10.926655
4.791311,12,10.974057
29.217079,31,11.103929
20.451415,20,11.18368
8.692376,12,11.23245
7.315122,24,11.339959
3.791636,24,27.457565
60.977957,53,27.708795
10.155522,15,27.768538
8.687241,12,27.816308
9.988297,18,27.891716
31.599453,37,28.043446
14.25926,19,28.122848
50.014855,36,28.274018
3.271357,10,28.316962
66.232263,59,28.561998
40.108599,31,28.68602
5.260171,9,28.720062
38.603796,32,28.845851
3.143071,14,28.906496
7.736476,18,28.973945
17.862459,29,29.096371
8.262562,21,29.183025
44.473628,47,29.379497
9.16514,14,29.443581
6.163378,12,29.492522
83.103073,47,29.690549
5.84465,11,29.735328
9.36576,12,29.786651
56.371005,55,30.007787
11.036242,13,30.059471
43.309023,38,30.216082
34.298827,39,30.378126
10.024872,13,30.430243
8.219637,16,30.501988
13.81192,16,30.567842
27.195385,23,30.665602
31.976967,28,30.778962
12.28439,16,30.844689
64.990156,40,31.013728
6.813915,13,31.071563
13.938865,14,31.12887
8.891555,11,31.175361
6.007809,9,31.21418
5.493451,9,31.248009
20.470608,30,31.376981
7.137403,15,31.438087
8.079805,11,31.480905
30.07232,32,31.610804
5.013023,9,31.644588
117.064884,66,31.918391
6.451335,10,31.962697
4.323703,14,32.018688
30.80745,24,32.116011
11.686608,18,32.192388
15.500684,19,32.272214
7.428991,10,32.310223
9.836206,21,32.395835
9.202493,27,32.508789
9.647561,31,32.634941
4.339633,9,32.668794
15.426458,16,32.737619
25.482528,25,32.842162
88.828329,61,33.089492
24.322891,32,33.225689
10.868481,18,33.297852
13.754094,27,33.424
14.183731,15,33.496972
71.817364,44,33.680429
4.668261,9,33.716439
29.786953,30,33.833592
17.896549,19,33.912046
29.837966,23,34.000439
60.818566,57,34.232813
11.89489,20,34.31842
13.876634,21,34.406485
11.902226,15,34.467339
6.621702,12,34.51877
7.284835,12,34.571946
9.677164,20,34.653284
9.238492,14,34.711283
4.722845,10,34.751679
8.363736,12,34.800296
153.883345,75,35.107842
5.174182,9,35.141938
10.411599,40,35.305581
12.751416,19,35.39289
8.054456,12,35.440468
82.823809,48,35.68108
14.981062,33,35.843726
15.799884,16,35.938645
12.504822,20,36.028869
17.633546,22,52.878602
45.660429,42,53.086285
51.7538,51,53.33115
8.934801,12,53.384984
146.678366,84,53.815172
83.632652,48,54.066024
127.486451,66,54.419961
102.59617,76,54.774523
16.879581,17,54.845688
20.412091,23,54.932758
7.021293,11,54.974382
139.342583,65,55.240541
38.070534,37,55.392519
64.597028,43,55.567865
32.126078,52,55.82861
89.457967,50,56.052637
87.089896,59,56.281593
16.790926,24,56.375255
61.041747,71,56.740279
13.134051,14,56.793396
165.418197,84,57.116336
63.479753,40,57.275278
105.383756,55,57.493086
8.769568,24,57.579119
