#{"t_start": 1769549931.8864, "env_id": "CustomHopper-source-v0"}
r,l,t
735.427341,233,272.483024
704.108027,224,272.786096
704.108027,224,273.071079
704.108027,224,273.357641
704.108027,224,273.632631
736.481993,233,273.918501
704.108027,224,274.195319
704.108027,224,274.469574
704.108027,224,274.761256
704.108027,224,275.040604
742.266241,235,275.339098
719.207578,228,275.613926
719.207578,228,275.897368
719.207578,228,276.184258
719.207578,228,276.458229
717.919177,228,276.745859
705.28776,224,277.032701
705.28776,224,277.331489
705.28776,224,277.611877
705.28776,224,277.909377
730.785886,231,278.199019
735.525001,232,278.474372
735.525001,232,278.760955
735.525001,232,279.042914
735.525001,232,279.34616
727.922335,231,279.653773
705.948594,225,279.917983
705.948594,225,280.190334
705.948594,225,280.475743
705.948594,225,280.731926
744.292508,235,312.655072
746.099129,235,312.994361
746.099129,235,313.337177
746.099129,235,313.730886
746.099129,235,314.024416
726.307113,232,314.319951
727.112132,233,314.621599
727.112132,233,314.974556
727.112132,233,315.289466
727.112132,233,315.61849
738.558467,237,315.92783
742.565893,238,316.223208
742.565893,238,316.52399
742.565893,238,316.854423
742.565893,238,317.143533
720.29347,230,317.438061
708.054564,227,317.701746
708.054564,227,317.993634
708.054564,227,318.270063
708.054564,227,318.579809
745.022238,238,318.86823
721.200429,232,319.142598
721.200429,232,319.419886
721.200429,232,319.704999
721.200429,232,319.994573
719.325624,230,320.292469
718.245834,230,320.589025
718.245834,230,320.86872
718.245834,230,321.163119
718.245834,230,321.467136
945.486664,283,353.855911
742.688807,232,354.181393
742.688807,232,354.469131
742.688807,232,354.755404
742.688807,232,355.038123
921.419324,283,355.396972
881.093879,272,355.730808
881.093879,272,356.093551
881.093879,272,356.42595
881.093879,272,356.747203
815.723695,251,357.055791
751.673827,235,357.332886
751.673827,235,357.627081
751.673827,235,357.917938
751.673827,235,358.20999
878.553914,271,358.562393
790.173408,248,358.860113
790.173408,248,359.173494
790.173408,248,359.48801
790.173408,248,359.789546
807.511655,249,360.095444
734.263851,228,360.376906
734.263851,228,360.657847
734.263851,228,360.938663
734.263851,228,361.223365
902.928468,278,361.55579
834.48516,260,361.850694
834.48516,260,362.180376
834.48516,260,362.491804
834.48516,260,362.800134
1019.570594,302,396.135096
902.579714,271,396.546697
902.579714,271,396.914866
902.579714,271,397.262752
902.579714,271,397.722839
996.835136,316,398.172588
993.254307,314,398.61851
993.254307,314,399.116821
993.254307,314,399.571104
993.254307,314,399.986578
1060.496239,315,400.392295
971.149519,288,400.742273
971.149519,288,401.135308
971.149519,288,401.616582
971.149519,288,402.023203
955.618878,298,402.432778
935.492796,290,402.854969
935.492796,290,403.247605
935.492796,290,403.641389
935.492796,290,404.047548
971.619868,288,404.48032
887.889014,267,404.874898
887.889014,267,405.264478
887.889014,267,405.626565
887.889014,267,405.997182
959.307916,300,406.44887
949.501332,296,406.846791
949.501332,296,407.255192
949.501332,296,407.623277
949.501332,296,407.979382
1078.213562,327,440.294892
1094.776265,334,440.708643
1094.776265,334,441.106518
1094.776265,334,441.466597
1094.776265,334,441.833825
951.655084,307,442.177942
943.568391,305,442.513552
943.568391,305,442.865562
943.568391,305,443.213735
943.568391,305,443.538752
1163.068835,352,443.919863
1195.560112,360,444.323844
1195.560112,360,444.754906
1195.560112,360,445.17644
1195.560112,360,445.578941
917.343832,294,445.934768
913.723444,293,446.267324
913.723444,293,446.606118
913.723444,293,446.941571
913.723444,293,447.263063
1091.592352,333,447.647774
1112.161682,339,448.102448
1112.161682,339,448.510376
1112.161682,339,448.910558
1112.161682,339,449.294684
912.253769,294,449.631735
910.152999,294,449.970726
910.152999,294,450.302888
910.152999,294,450.636984
910.152999,294,450.96559
1053.741636,356,484.594367
1370.338775,455,485.249765
1370.338775,455,485.884268
1370.338775,455,486.581602
1370.338775,455,487.307421
1313.980718,500,488.029564
1279.893345,500,488.690553
1279.893345,500,489.303173
1279.893345,500,489.967033
1279.893345,500,490.748219
1031.54438,360,491.290959
1023.544766,357,491.822963
1023.544766,357,492.407083
1023.544766,357,492.916315
1023.544766,357,493.382453
1354.197524,500,493.996462
1380.584103,500,494.605139
1380.584103,500,495.201632
1380.584103,500,495.822572
1380.584103,500,496.515542
1041.145247,359,497.176981
1038.553488,358,497.671167
1038.553488,358,498.176216
1038.553488,358,498.703659
1038.553488,358,499.175983
1328.257088,500,499.761307
1347.969428,500,500.333151
1347.969428,500,500.883557
