#{"t_start": 1769540472.8134944, "env_id": "CustomHopper-source-v0"}
r,l,t
839.804961,305,301.340339
854.212866,308,301.764886
854.212866,308,302.214628
854.212866,308,302.585845
854.212866,308,302.937969
1421.329517,456,303.518406
854.212866,308,303.910813
854.212866,308,304.326728
854.212866,308,304.686898
854.212866,308,305.076188
835.247515,305,305.465883
833.23062,305,305.862438
833.23062,305,306.312777
833.23062,305,306.666248
833.23062,305,307.033415
1389.825368,442,307.577719
840.952027,303,307.971967
840.952027,303,308.374901
840.952027,303,308.719708
840.952027,303,309.081501
844.694206,306,309.465203
833.722447,305,309.957782
833.722447,305,310.39057
833.722447,305,310.753288
833.722447,305,311.108015
1254.134757,405,311.609248
838.190185,303,312.003649
838.190185,303,312.419941
838.190185,303,312.770158
838.190185,303,313.123671
552.520067,226,346.844396
558.637367,227,347.105333
558.637367,227,347.425379
558.637367,227,347.702664
558.637367,227,347.958615
787.18651,318,348.36372
1217.639697,500,348.953962
1217.639697,500,349.55826
1217.639697,500,350.161375
1217.639697,500,350.955739
557.801352,225,351.211582
558.637367,227,351.47955
558.637367,227,351.734282
558.637367,227,352.011783
558.637367,227,352.275759
1018.939914,404,352.761365
1240.80542,500,353.358377
1240.80542,500,353.953014
1240.80542,500,354.528734
1240.80542,500,355.104706
557.801352,225,355.382023
558.637367,227,355.648443
558.637367,227,355.904478
558.637367,227,356.171212
558.637367,227,356.448519
790.01227,317,356.917732
1006.399936,407,357.426332
1006.399936,407,357.899173
1006.399936,407,358.38572
1006.399936,407,358.937023
1148.892732,500,392.459224
1143.943174,500,393.064519
1143.943174,500,393.64047
1143.943174,500,394.229233
1143.943174,500,394.803201
1136.919913,500,395.400424
1135.062671,500,396.018763
1135.062671,500,396.598699
1135.062671,500,397.341783
1135.062671,500,398.03067
1145.58088,500,398.797769
1142.034472,500,399.541149
1142.034472,500,400.242107
1142.034472,500,400.914621
1142.034472,500,401.604359
1146.018629,500,402.365183
1140.470246,500,403.053304
1140.470246,500,403.790604
1140.470246,500,404.531576
1140.470246,500,405.280679
1150.087798,500,405.995715
1141.713301,500,406.72745
1141.713301,500,407.616555
1141.713301,500,408.40557
1141.713301,500,409.128986
1143.324606,500,409.835404
1141.392065,500,410.500277
1141.392065,500,411.13916
1141.392065,500,411.836266
1141.392065,500,412.502291
607.568216,249,449.366971
598.522983,247,449.747852
598.522983,247,450.119895
598.522983,247,450.526995
598.522983,247,450.993421
581.394213,242,451.444586
568.206414,240,451.855384
568.206414,240,452.212645
568.206414,240,452.541125
568.206414,240,452.893746
613.634254,250,453.273298
589.755323,245,453.647833
589.755323,245,454.020336
589.755323,245,454.378689
589.755323,245,454.705055
581.394213,242,455.098382
568.206414,240,455.444671
568.206414,240,455.812599
568.206414,240,456.186319
568.206414,240,456.533111
