#{"t_start": 1768252628.9098227, "env_id": "CustomHopper-source-v0"}
r,l,t
8.326471,16,3.163439
8.026064,13,3.216955
13.214929,16,3.281207
8.341998,14,3.338512
6.046202,13,3.393455
16.950985,16,3.45842
14.960495,19,3.540631
8.829902,18,3.611915
5.830557,11,3.656715
14.108005,17,3.72451
6.826155,24,3.820273
87.357891,61,4.072651
8.637011,21,4.159997
21.104579,22,4.252435
6.055559,9,4.288265
9.499996,14,4.343807
12.308579,20,4.423128
8.288712,13,4.477373
6.577386,11,4.524745
180.279787,105,4.941765
21.96789,23,5.033982
6.637384,14,5.08796
11.776652,14,5.147333
4.577851,10,5.188487
4.355593,8,5.218413
3.898504,11,5.26367
4.7748,9,5.301357
7.28716,25,5.403279
7.448952,16,5.461396
4.277755,9,5.49826
4.877669,11,5.54519
14.761503,15,5.606889
7.870651,12,5.656857
6.667237,13,5.710566
12.772445,21,5.798877
4.984962,12,5.85419
13.647487,18,5.924992
3.900641,18,6.00151
12.167889,16,6.063718
5.478941,10,6.108183
8.82655,11,6.150641
4.749653,11,6.190279
9.658939,13,6.240081
18.942532,22,6.327415
5.540741,9,6.370025
73.816158,48,6.567124
9.2499,11,6.613307
10.376703,18,6.686345
5.993179,12,6.735744
3.693076,13,6.788981
6.794,10,6.832713
20.607304,22,6.92627
6.902219,12,6.973384
3.792921,9,7.010522
21.903872,23,7.108867
14.36549,15,7.170139
7.62148,13,7.223546
53.858066,39,7.380687
18.563874,21,7.46275
4.216816,9,7.500658
42.376851,41,7.672729
15.770978,18,7.750169
18.825375,23,7.847364
9.016326,22,7.935737
20.822972,20,8.019339
8.981969,17,8.086969
44.525361,35,8.228908
7.878337,15,8.296075
3.805964,12,8.345435
9.396547,24,8.446678
3.383601,8,8.477586
47.184089,61,8.715005
38.670497,29,8.833569
9.465847,13,8.887802
32.98819,24,8.981945
24.654873,24,9.077635
12.821915,16,9.141929
16.671029,19,9.211729
4.48111,9,9.253169
23.026477,38,9.407444
13.193098,16,9.476205
15.574942,19,9.552058
8.627281,25,9.660089
27.180182,37,9.811663
11.6267,27,9.921987
46.908974,36,10.064838
9.719341,14,10.122783
7.327825,12,10.181011
11.969409,25,10.287787
9.088821,16,10.353388
10.418903,18,10.428473
13.388069,15,10.490747
4.146169,12,10.536186
4.884857,9,10.57427
4.719139,12,10.619754
8.815405,13,10.679041
7.200282,13,10.73242
59.86399,48,10.915551
4.804555,18,10.990257
17.851541,20,11.066374
10.940065,14,11.127562
6.507006,11,11.173133
10.424703,13,11.225218
20.336328,23,11.326519
16.491789,19,11.405061
7.719132,22,27.515164
33.204274,29,27.664079
8.996833,16,27.735474
84.292182,63,27.990338
180.46692,82,28.33364
67.95967,77,28.651604
19.615419,33,28.781669
17.169615,18,28.852465
104.372614,82,29.18495
9.187666,12,29.236614
13.581338,20,29.319952
5.759662,12,29.368808
9.639215,26,29.483879
21.217086,20,29.567063
28.231074,24,29.666854
4.007694,10,29.709802
4.953949,13,29.765763
68.487691,47,29.957656
9.128067,24,30.050688
26.644065,29,30.170907
15.3737,19,30.247837
17.683292,20,30.33106
61.883474,37,30.483824
8.184867,24,30.589156
12.601711,15,30.650979
137.612157,97,31.053839
19.597139,19,31.136923
29.577905,28,31.254227
7.761052,10,31.294522
14.193985,23,31.386329
21.010823,25,31.496139
10.230717,14,31.551178
46.978552,41,31.715257
3.726606,15,31.776615
13.814327,16,31.841199
108.506281,69,32.131008
106.956362,63,32.389619
16.982543,33,32.524575
4.971637,9,32.560236
7.546859,11,32.605333
21.992979,22,32.694545
40.350049,29,32.813858
16.387061,20,32.89977
8.496905,10,32.939827
18.5785,25,33.044292
14.051173,16,33.110623
22.804907,21,33.193897
18.940695,21,33.283296
2.611643,7,33.311016
12.393184,27,33.428512
20.967419,25,33.545352
32.711699,30,33.675885
13.53998,16,33.742107
145.819285,72,34.027143
8.370826,13,34.0788
16.255342,19,34.158047
13.103223,15,34.215861
5.664297,13,34.271324
6.841105,12,34.319932
19.374035,18,34.39808
12.731092,28,34.512314
56.630513,37,34.671504
61.600285,48,34.866349
12.471152,21,34.953681
29.282493,26,35.061352
70.561803,38,35.212978
5.062918,8,35.248348
51.972242,38,35.403337
4.643453,11,35.453849
70.187314,44,35.658602
8.115952,11,35.717823
48.034392,35,35.891243
20.730283,18,35.995252
6.663757,11,36.046597
69.403427,40,52.985432
20.638783,20,53.084673
85.313754,50,53.324129
36.826286,29,53.459194
110.861439,55,53.749157
19.21386,18,53.836438
114.17999,63,54.16116
118.542861,70,54.534485
12.501337,29,54.674958
164.062358,114,55.144573
68.472785,39,55.304351
13.128177,17,55.371517
41.568576,40,55.536918
63.281879,45,55.718211
24.103736,36,55.925547
81.728302,56,56.156813
47.218774,36,56.299555
9.113552,22,56.384204
71.438417,42,56.617858
19.439506,19,56.70132
119.962663,77,57.010929
68.367024,40,57.164347
44.519349,60,57.40038
12.43694,22,57.48432
80.31231,50,57.674983
172.409962,106,58.099065
8.127761,13,58.147776
32.684903,27,58.246273
10.816682,22,58.335127
21.527873,39,58.48434
56.416011,53,58.713414
5.690525,20,58.801067
17.295496,20,58.886778
80.347681,46,59.110668
126.141795,86,59.526656
23.973174,36,59.711124
52.964091,33,59.859046
67.738504,42,60.09939
29.239705,27,60.249763
40.903678,31,60.500317
51.463328,59,60.986604
6.056395,11,61.07541
188.095629,95,61.774656
189.889326,84,62.505505
131.777279,69,63.067118
129.704821,68,80.430591
70.283478,40,80.589692
124.923787,63,80.833903
107.469235,58,81.060825
213.078283,92,81.420559
70.331497,40,81.56996
18.976624,19,81.652307
148.292037,76,81.936658
74.384026,43,82.107619
10.84392,13,82.166175
95.78088,59,82.39136
180.565666,94,82.76474
204.510371,92,83.142439
248.128924,117,83.594321
139.656636,74,83.874106
205.099635,95,84.23776
136.629917,73,84.524918
34.792896,27,84.633391
171.090971,90,84.971813
6.090272,34,85.122249
135.964404,73,85.422953
164.017374,77,85.751395
127.072714,65,86.007266
228.618513,115,86.447705
224.972987,105,86.851937
26.472107,24,86.943506
33.46793,31,87.063446
185.878873,95,87.428082
75.049076,46,87.607765
104.549373,59,87.838648
10.85157,14,87.888913
100.092368,55,88.099989
63.389795,49,88.290056
165.840273,77,104.058393
184.845513,87,104.397488
173.551721,86,104.740927
228.47151,121,105.21867
12.484169,30,105.33777
202.956351,86,105.66827
118.057227,64,105.922467
210.056296,94,106.295827
46.361429,35,106.436544
257.268615,110,106.87199
232.054631,103,107.273546
94.147013,50,107.458926
186.364967,86,107.794226
162.529989,92,108.155548
139.89712,69,108.422965
120.42662,65,108.678547
207.130992,90,109.037437
12.329868,15,109.096746
102.960487,59,109.330805
205.310299,90,109.6775
227.695982,105,110.096321
233.161091,111,110.520154
142.252086,72,110.794297
154.632533,73,111.089685
87.814884,55,111.302183
49.55074,30,111.41599
229.79909,104,111.848068
210.845833,95,127.692064
195.294065,88,128.039191
228.915882,98,128.425091
251.058904,107,128.845775
162.880613,86,129.180785
56.364064,34,129.315185
205.939441,92,129.67779
112.040336,63,129.923414
226.747944,97,130.307334
254.080442,117,130.776503
225.952309,97,131.202248
222.372034,94,131.598041
147.759145,78,132.013765
171.730274,81,132.358249
242.042505,103,132.809617
209.416452,97,133.409863
211.677957,100,134.037794
222.473643,94,134.683325
214.738591,100,135.306072
192.913524,98,135.889148
231.694436,102,136.497458
193.648894,84,136.978383
238.540692,113,157.559616
241.506175,116,158.11008
202.346066,89,158.509964
221.086102,97,158.933938
227.701642,102,159.384468
