#{"t_start": 1769416271.2372224, "env_id": "CustomWalker2d-source-v0"}
r,l,t
1.849741,19,1.375203
-5.886849,12,1.403176
-1.707768,20,1.451811
0.425804,18,1.494466
0.842112,12,1.521753
12.85819,35,1.617629
-5.1946,32,1.692807
6.212815,34,1.772138
-0.849101,22,1.821505
-2.420958,13,1.852531
-1.104607,10,1.874934
-3.106279,13,1.905029
2.445636,15,1.938779
-4.361788,9,1.959342
-6.174911,14,1.991762
-1.865345,10,2.015454
1.388769,17,2.053659
9.639227,27,2.115991
-3.429751,16,2.151272
0.857881,28,2.214369
3.572169,28,2.276732
-5.623562,9,2.2968
-4.371178,11,2.320918
-5.435171,17,2.359473
15.229034,36,2.441713
6.554358,33,2.517465
5.122861,29,2.592333
-3.198735,9,2.624467
2.074997,16,2.663005
9.38229,30,2.736251
-6.067446,11,2.761847
1.027993,11,2.787105
6.598284,28,2.848522
-2.998173,10,2.871288
0.300445,12,2.898371
-7.250516,10,2.921298
-1.053451,20,2.97074
2.860372,15,3.003967
-2.935608,11,3.028701
1.396938,24,3.081249
4.171584,24,3.151908
2.06366,25,3.228646
0.483964,12,3.277159
-3.088932,21,3.330557
-4.972093,20,3.376817
-0.411862,14,3.409446
4.847416,16,3.459469
-1.053233,28,3.551549
-2.039645,17,3.590952
-0.17626,16,3.630299
0.033575,12,3.66693
-6.376649,22,3.734324
7.402037,27,3.806774
-1.619267,12,3.833921
13.096977,30,3.900846
1.907389,13,3.930428
-0.524941,16,3.968422
5.54258,31,4.065797
-1.334409,11,4.099345
0.94143,25,4.178938
-2.963793,15,4.222079
-0.843302,39,4.378685
-3.002409,17,4.425249
2.166114,16,4.468782
-3.218244,10,4.495891
-5.948362,11,4.525347
-4.73923,15,4.561129
-5.632642,29,4.628628
8.504165,26,4.689039
-8.311163,15,4.723648
-5.028765,18,4.767591
1.411907,14,4.799899
-3.950733,10,4.823029
5.605111,21,4.872946
-3.398234,10,4.89708
-4.778547,21,4.958796
1.246603,12,5.00159
7.030757,28,5.083689
-1.251685,11,5.117404
-3.887377,9,5.140244
-4.904316,25,5.216092
0.603845,18,5.259003
0.24583,32,5.332673
-3.858543,17,5.372338
2.98434,18,5.434512
-1.211334,9,5.455197
-6.044706,21,5.50585
3.192185,14,5.538447
5.347846,18,5.584209
1.741014,19,5.64509
-2.691826,8,5.671553
-8.028,14,5.720239
-0.218008,20,5.790505
-3.950761,13,5.823207
-2.505866,21,5.879099
-5.460057,10,5.908322
6.123264,22,5.969024
21.416425,40,6.068947
-8.58856,14,6.100626
-1.312732,22,6.150579
7.709312,35,6.237868
1.084448,14,6.27684
-0.257743,15,6.328572
-2.097909,15,6.370834
42.875283,50,6.500496
-0.004716,19,6.553007
-1.605132,13,6.588721
-6.150472,17,6.631069
3.307201,27,19.306414
4.110395,18,19.349195
0.726656,26,19.439194
1.847619,13,19.478042
15.046697,39,19.579277
13.361286,27,19.639097
-8.798136,29,19.702754
-1.499054,18,19.743743
10.428322,31,19.815423
-3.451318,10,19.836971
-1.387652,13,19.866443
27.744753,64,20.008911
12.324763,51,20.122514
17.761036,36,20.202188
16.41257,56,20.326272
5.758075,41,20.417243
2.78431,27,20.478121
-2.00898,13,20.507747
8.265801,23,20.559041
-3.629176,12,20.586659
11.312707,28,20.648417
2.015586,19,20.689867
11.760067,61,20.827572
3.206828,27,20.887961
1.629577,31,20.955947
-2.228696,9,20.976298
6.65553,25,21.031453
-6.991095,9,21.051269
5.005551,25,21.106928
5.193427,28,21.169035
-3.409058,21,21.215251
-6.259439,21,21.262083
6.238329,24,21.334432
-0.880191,21,21.392889
2.312891,25,21.44925
3.038459,18,21.495423
11.349943,25,21.570254
3.193974,20,21.614806
-3.175466,9,21.635013
15.891416,56,21.767184
16.877958,41,21.859866
-2.876502,15,21.893347
4.610627,27,21.953197
1.586049,18,21.993843
4.340038,17,22.033203
16.466184,52,22.147503
-2.977161,13,22.175543
-2.962464,8,22.192981
1.720665,18,22.23253
-1.808666,27,22.292784
-3.19966,17,22.331131
12.278306,33,22.404773
13.529941,33,22.478914
3.539891,14,22.51029
-2.817173,10,22.532628
-0.80379,14,22.563194
7.721529,37,22.64609
0.402101,22,22.694206
-6.793988,12,22.720841
-7.660821,24,22.775355
-1.675193,27,22.836571
-6.440512,25,22.891489
11.816488,25,22.948463
14.75659,33,23.022301
2.810081,18,23.062394
-7.5564,22,23.111362
5.641921,19,23.153759
-7.245979,24,23.206742
-3.054709,11,23.231434
4.097085,44,23.32916
-7.841766,16,23.364739
1.906374,27,23.424538
-2.27301,9,23.444504
6.579495,17,23.483227
-9.410525,19,23.541097
-8.212997,18,23.608647
-0.324442,16,23.645077
-2.530415,15,23.678473
4.57993,20,23.72763
4.619478,22,23.777492
2.968097,15,23.811107
1.418433,13,23.841047
5.453304,17,23.879664
3.008773,15,23.913552
-2.27609,12,23.939761
-0.579565,11,23.964502
7.13023,29,35.140267
9.238418,30,35.214809
21.619498,50,35.33661
4.594853,15,35.372593
31.303048,68,35.530452
20.422543,40,35.618188
10.482088,31,35.686497
1.337605,11,35.710867
14.140782,59,35.840241
13.765551,33,35.917722
26.646161,45,36.018909
19.088087,39,36.107294
1.795307,13,36.135672
0.480644,13,36.163619
5.691443,36,36.244692
-0.929515,33,36.319941
124.366684,111,36.570364
-4.115586,23,36.627265
2.001745,17,36.663904
9.82399,26,36.724103
17.540663,68,36.87616
25.643572,49,36.999873
-8.743637,16,37.036159
3.118292,23,37.088534
2.601053,18,37.131241
10.927064,33,37.205328
-1.709252,22,37.259602
1.178395,23,37.313628
-0.994841,9,37.334105
0.787201,46,37.438724
-4.972613,8,37.457146
6.69037,22,37.506672
8.848224,25,37.562397
0.803279,18,37.602636
14.619188,30,37.671612
19.840475,33,37.748549
15.064541,38,37.835653
1.597364,16,37.870185
21.298578,64,38.014508
5.1112,27,38.076094
21.71746,51,38.190665
23.825034,46,38.293381
9.76166,52,38.409439
18.587261,41,38.501354
3.571298,16,38.537601
2.151988,18,38.578163
19.185483,42,38.67329
1.434664,17,38.712345
10.952598,32,38.795364
-4.751321,23,38.86233
26.52837,46,38.995548
-2.832473,20,39.049719
-1.468498,17,39.093791
10.819859,29,39.188126
-3.429991,26,39.261497
-3.589301,16,39.306841
-9.074532,18,39.352332
11.855587,34,39.437741
0.704847,11,39.462628
10.284482,49,39.577144
19.118449,56,39.704632
1.543161,14,39.737903
-0.60869,14,39.77282
6.887044,25,39.830823
17.912819,56,54.798862
8.629994,65,55.026308
33.235332,54,55.192162
202.575828,125,55.527137
51.051271,120,55.850937
9.188758,42,55.952387
7.562979,33,56.030879
16.09216,43,56.140995
6.374084,37,56.251834
26.47624,76,56.469236
107.410561,149,56.82999
11.164972,50,56.943895
8.050878,53,57.067613
21.702746,65,57.255142
0.792046,23,57.310797
10.141928,36,57.391853
29.740037,62,57.536009
63.130656,109,57.791202
23.118673,51,57.909963
6.97582,37,57.995959
7.122604,21,58.046512
48.254391,69,58.208242
3.991657,24,58.265103
22.594852,74,58.45746
-4.06269,13,58.488072
16.053037,65,58.637626
20.975091,38,58.724493
1.773939,27,58.788371
20.197704,48,58.902782
0.206373,14,58.93771
19.679493,44,59.042167
9.96836,45,59.147019
11.696064,46,59.25293
2.817689,15,59.287672
25.299746,38,59.402508
23.877347,37,59.489674
23.60485,56,59.621192
12.768806,75,59.79812
25.553049,46,59.901314
232.641029,163,72.768172
41.254169,71,72.948527
16.308254,83,73.152517
34.628559,56,73.288366
24.504589,66,73.442278
71.920341,70,73.607499
280.731663,237,74.182572
21.518418,52,74.312909
35.950673,69,74.489553
56.771011,78,74.687515
-6.07211,12,74.717897
51.237297,65,74.879906
8.464825,38,74.973505
-3.135746,8,74.995497
90.158905,131,75.319695
11.397886,23,75.374749
122.702683,169,75.783756
236.741081,180,76.21298
210.54699,144,76.55913
90.278347,105,76.814314
65.403851,166,77.238749
14.055785,53,77.387037
80.655835,117,87.995845
31.533951,111,88.275429
284.072738,189,88.786712
474.474345,364,89.775324
78.118873,200,90.306617
223.105509,193,90.804798
17.413268,32,91.018265
213.637962,164,91.424195
268.556505,162,91.802629
305.534381,242,92.403005
