#{"t_start": 1769351103.4115167, "env_id": "CustomWalker2d-source-v0"}
r,l,t
-0.285814,10,1.921554
-7.390314,16,2.017141
-1.416328,31,2.159209
-1.967665,24,2.260385
-4.098123,29,2.386801
-0.945609,12,2.428787
3.596872,24,2.505608
-0.725982,23,2.577575
-12.08242,16,2.633426
2.170854,19,2.705153
17.235591,35,2.836721
-2.494614,27,2.932689
0.781427,11,2.984026
-1.221403,9,3.023628
0.71728,11,3.06302
0.569178,18,3.117376
-5.932762,7,3.138599
-7.652807,20,3.200297
-4.307342,16,3.248515
-6.902735,22,3.312975
-1.58932,13,3.351701
-0.186295,16,3.398558
5.242825,29,3.49147
-1.482825,14,3.557862
-0.735274,13,3.61702
-0.938613,28,3.765381
-4.839218,17,3.86165
8.158302,30,3.965559
-6.371693,17,4.027876
-0.611981,13,4.07316
-7.765606,11,4.107106
-7.368267,15,4.159748
-2.545606,18,4.21511
-1.026508,11,4.247945
2.024065,28,4.331805
-3.346598,19,4.387947
-2.685867,17,4.439656
-0.221499,20,4.499377
9.80413,20,4.559072
4.132964,37,4.669633
-4.033869,9,4.695749
-4.497226,9,4.721618
-2.897904,8,4.744876
0.485474,13,4.782172
9.880755,22,4.845615
-4.173451,23,4.9138
0.257636,14,4.956831
-0.810121,12,4.992474
-6.081351,13,5.032931
-6.92796,27,5.11699
12.83433,44,5.248564
-5.920996,16,5.29666
0.344058,17,5.3468
6.551447,30,5.485998
-0.651914,9,5.52516
5.795106,30,5.63929
1.259366,17,5.714639
4.837715,15,5.765428
4.075334,18,5.818218
-12.338806,14,5.866491
-3.209826,19,5.942811
0.079861,20,6.014691
-2.525385,17,6.074217
1.947681,15,6.12429
1.818219,18,6.179057
-2.260617,14,6.220489
-11.471458,16,6.26826
-1.273543,12,6.306163
-0.184437,19,6.365548
0.563677,12,6.401455
-1.037835,25,6.475127
6.332776,19,6.533205
-4.856215,16,6.582209
-1.983163,16,6.636356
-2.986948,16,6.721736
-0.389427,18,6.778163
-3.190819,15,6.821867
-0.318433,12,6.85633
0.178655,15,6.900019
20.67617,30,6.991674
0.114091,26,7.117319
-1.814507,27,7.24094
-3.31703,9,7.277381
-2.785218,10,7.306085
1.008752,12,7.341332
-7.79506,17,7.389618
-3.801767,17,7.439076
-1.214947,19,7.519431
0.698547,34,7.649615
-4.975156,21,7.715771
-1.332627,14,7.756797
-5.891379,19,7.811268
1.079159,24,7.880216
-1.983216,23,7.990748
0.075242,13,8.045259
-2.771455,13,8.093342
-4.270397,10,8.128728
-6.265566,18,8.207064
-4.431193,22,8.280504
-2.489465,11,8.315421
2.575817,17,8.397012
1.721356,18,8.459515
-1.596275,12,8.494606
-7.219251,25,8.569493
-1.060834,19,8.626835
-0.554463,15,8.672236
-3.82084,12,8.707309
-6.093637,12,8.742478
2.074003,12,8.778125
-3.54428,10,8.807395
-4.667709,10,8.83601
5.14006,22,8.900474
-2.309921,16,8.948726
-2.722719,10,8.978684
2.455122,17,23.487813
15.019187,40,23.629895
19.473505,49,23.789441
-0.838954,25,23.8676
-0.079296,13,23.907948
9.681708,21,23.97259
22.128662,48,24.160184
5.83051,17,24.21565
11.670028,39,24.345643
-7.091346,17,24.397294
2.325797,17,24.452891
4.730788,28,24.541418
3.380924,16,24.588183
-2.113897,11,24.62148
8.074556,38,24.752126
-3.975405,11,24.801197
19.500993,36,24.946992
-6.314231,20,25.02387
-1.924428,10,25.066128
1.669881,25,25.18531
-0.441233,29,25.323328
-2.701144,24,25.48069
2.36157,20,25.587398
3.341687,17,25.721323
0.303568,29,25.832437
4.997659,17,25.916281
12.181815,28,26.024688
26.604992,52,26.266817
8.176352,29,26.383867
1.478947,17,26.444439
-8.578038,13,26.487751
4.535527,26,26.576165
1.764079,18,26.631806
-0.186219,15,26.677904
-3.142604,11,26.711777
-1.623095,40,26.849443
-1.78534,13,26.894575
13.087963,32,26.998874
-14.475058,23,27.076877
9.528992,45,27.290618
-1.566696,11,27.326351
2.354116,17,27.381305
8.730154,30,27.47773
10.338952,34,27.586766
1.255248,15,27.652446
-1.305109,12,27.72298
-1.364517,48,27.875106
0.150871,13,27.916909
-2.174462,11,27.951432
0.866126,17,28.003235
5.52639,29,28.091785
-3.194048,19,28.161251
1.926488,15,28.211995
20.620063,48,28.450866
-1.664716,9,28.491593
0.219593,18,28.598382
2.314846,21,28.766179
0.581212,17,28.909537
1.871943,20,29.091263
3.04597,23,29.224774
-9.668505,23,29.328895
-5.307825,24,29.422154
7.842708,28,29.519412
-3.633944,8,29.54583
1.487359,65,29.75159
1.528276,18,29.837286
-5.275468,12,29.89539
2.91624,20,29.993117
-5.904573,18,30.05916
2.649321,26,30.158966
3.189632,17,30.23627
10.462476,28,30.398048
-5.263891,8,30.4505
48.578515,107,30.972291
7.677097,34,31.118293
2.258837,17,31.18256
-5.640058,21,31.299213
6.828948,22,31.39906
8.592964,28,31.503
-0.898455,39,31.63465
15.415883,29,31.736408
-1.817156,26,31.822714
23.041216,47,47.467803
7.250347,32,47.578572
-1.375669,26,47.673025
13.271195,31,47.812627
-0.432221,12,47.855152
6.800342,18,47.928094
14.243734,54,48.160862
1.51364,41,48.285882
38.28623,58,48.514356
