#{"t_start": 1768503098.0060194, "env_id": "CustomWalker2d-source-v0"}
r,l,t
-6.002952,21,3.25565
2.200004,21,3.332832
-11.09509,22,3.412397
-3.391015,28,3.50319
-7.017283,12,3.556219
7.722187,26,3.657185
-4.812155,8,3.692802
-0.714769,24,3.793723
-0.938541,13,3.852034
-6.578233,20,3.974778
21.391182,44,4.275118
-4.87127,25,4.375679
-9.636848,21,4.475675
-1.280808,18,4.547525
-10.85879,22,4.645404
-13.360378,22,4.734411
-12.351604,23,4.83212
-3.178174,11,4.870842
-0.964981,20,4.966848
-6.767651,7,4.995594
1.139455,17,5.064638
-10.768692,23,5.169708
-7.141772,13,5.22548
-8.159893,20,5.306377
-12.679983,14,5.354596
-10.706642,19,5.430035
-6.88252,17,5.503847
-8.413725,21,5.591512
4.523842,26,5.68397
-5.076939,13,5.748088
-12.801563,16,5.82436
-4.302045,26,5.95186
-3.833911,16,6.030638
-0.021794,24,6.14087
-6.38847,9,6.183051
-9.970632,19,6.253643
-3.644488,22,6.332599
0.238415,16,6.400021
-5.457301,18,6.467331
-4.497225,13,6.521025
-11.731025,17,6.61265
-4.436778,18,6.687574
-11.493072,30,6.837305
3.114487,26,6.937346
-0.547691,26,7.036998
-10.943558,19,7.120386
-2.322954,15,7.170447
-6.543126,18,7.237614
-0.277764,22,7.318954
4.657038,22,7.398225
-4.479181,10,7.430148
-8.97245,23,7.525479
-13.08358,12,7.568805
15.100804,41,7.733434
-13.323515,15,7.794634
-6.543398,25,7.869131
5.764551,35,8.016283
-3.537795,21,8.10282
-4.790859,12,8.152704
-8.086427,22,8.248218
-6.205244,9,8.283464
-2.816687,20,8.360086
6.872756,32,8.475776
5.06686,19,8.540172
-3.093906,28,8.636719
-0.322806,40,8.794025
-15.484985,13,8.838198
-5.419209,21,8.933944
-0.098416,16,9.005159
-3.281294,17,9.071525
-15.058901,20,9.162676
-6.804543,8,9.196556
-10.063678,12,9.23791
-11.867677,16,9.299501
-11.813145,23,9.406264
-5.351267,11,9.449877
-10.715323,18,9.516708
-1.11451,14,9.569456
-0.495518,19,9.645921
-4.678762,12,9.697415
-9.941543,28,9.803854
-9.022471,14,9.864754
-12.006687,25,9.962115
-9.478995,11,10.00341
-5.746648,11,10.044724
-2.870875,26,10.137591
-2.666009,28,10.248529
-11.09852,16,10.31573
3.262388,32,10.43899
-0.222455,16,10.500605
-7.165736,16,10.558038
0.233661,29,10.668282
-11.895628,16,10.715729
-2.231007,25,10.810455
-10.826786,16,10.869402
27.859502,59,11.073942
-3.282803,14,11.12139
8.34972,34,11.232534
-8.211332,24,11.311312
-12.019201,14,11.366657
-7.865026,18,11.418048
-2.817244,12,21.167305
11.705647,26,21.298188
6.130066,21,21.400563
0.987882,21,21.487981
1.40371,15,21.554425
-6.293525,15,21.623387
-3.905622,28,21.753298
4.243527,17,21.825803
10.890486,29,21.956163
-2.853263,21,22.050859
-5.883621,18,22.109905
-5.574531,7,22.153435
-8.793804,16,22.225548
11.791095,26,22.346768
0.266228,33,22.496673
-8.950082,54,22.701815
-4.046008,46,22.882306
-7.919976,7,22.910205
-0.60549,11,22.946486
5.34282,25,23.064738
-0.475754,18,23.143864
-1.33935,15,23.200941
12.486471,31,23.34645
-1.043256,29,23.470684
-3.377117,23,23.573845
1.17082,13,23.638015
1.38294,13,23.697517
15.135427,27,23.81693
2.67414,31,23.932516
0.234169,42,24.098723
-7.938282,19,24.194516
7.426902,26,24.323142
-8.006106,49,24.523366
-4.189577,14,24.570502
-3.294297,9,24.618408
-7.829046,13,24.650191
-7.062791,15,24.713602
6.36809,29,24.827179
2.374992,18,24.909963
-3.833755,42,25.080668
-5.59373,18,25.153774
-5.352131,17,25.224866
-8.250529,25,25.336084
0.591462,22,25.440747
10.374442,39,25.607331
-7.552257,14,25.664545
-2.151648,35,25.794523
-3.87931,16,25.857723
11.669371,31,25.994811
-1.13801,13,26.05408
-3.627605,11,26.097685
-2.876755,11,26.14304
8.844361,25,26.245047
-0.173391,27,26.326449
7.533001,18,26.389725
4.740711,25,26.49622
-4.446516,14,26.543585
-1.915616,17,26.60722
14.974067,39,26.762194
-8.517971,10,26.809474
15.095937,29,26.939898
-3.660347,13,26.995678
-7.026501,9,27.028696
-7.055818,16,27.106166
15.253588,27,27.216497
2.926655,17,27.293851
-10.92337,25,27.394503
-0.62561,27,27.499406
-6.798292,12,27.556701
-5.828261,33,27.700639
6.858897,47,27.856611
-1.209984,13,27.90439
1.538138,21,27.982959
-13.4676,14,28.030362
-4.256828,33,28.174407
-2.444923,51,28.391057
-8.828598,29,28.492945
1.459647,34,28.622997
-7.433219,15,28.679207
2.626381,15,28.748998
-3.522931,28,28.870201
-4.371678,19,29.039382
11.923522,27,29.167152
-1.568449,19,29.248826
6.249258,44,29.434432
-6.927112,16,29.497834
-1.26512,18,29.560739
0.955852,20,29.649607
-9.127307,11,29.677627
-9.286637,27,39.367966
13.860995,60,39.604703
30.872018,71,39.883723
33.416064,63,40.1196
9.65075,27,40.234039
11.757576,42,40.411988
20.001876,77,40.70814
-6.187527,8,40.736567
15.959789,52,40.941371
24.274121,55,41.154558
-3.831011,20,41.222994
10.562878,22,41.320215
20.033792,40,41.483163
-9.264785,18,41.556446
12.177935,46,41.742529
-2.026615,18,41.788227
-9.64991,56,41.999804
19.32188,62,42.206181
1.648275,18,42.287944
38.9387,63,42.55365
34.239296,61,42.805538
5.223655,28,42.920644
-1.444705,15,42.98013
7.330186,22,43.070697
22.218619,38,43.230914
3.378707,24,43.305936
-0.708166,42,43.461706
1.910009,49,43.629732
-2.291099,21,43.721607
-2.076013,13,43.77162
7.056824,28,43.89801
1.321288,19,43.978923
6.541176,37,44.115208
-0.708898,13,44.168941
25.342312,41,44.3352
-0.23835,18,44.413985
-3.697128,18,44.487359
8.090237,26,44.569103
-3.870812,16,44.647513
-0.131258,17,44.711103
2.040964,17,44.771223
9.464502,39,44.945121
-0.748669,24,45.046317
-0.838047,23,45.133301
7.76388,28,45.239976
21.863554,50,45.428858
-8.536081,41,45.607931
-4.899735,13,45.650849
-3.380551,9,45.700442
191.273203,149,46.320929
-0.580375,11,46.366244
5.477364,26,46.473707
1.604008,14,46.530832
-2.004588,10,46.572339
-1.856033,18,46.646668
13.129881,69,46.912703
5.546329,30,47.039497
31.511622,43,47.216731
-0.244098,17,47.286767
-2.364463,29,47.413061
1.448173,20,47.49178
6.599074,30,56.819855
-14.445533,51,57.039969
3.478433,31,57.159505
8.300071,50,57.383
23.844301,47,57.569095
7.705361,25,57.667533
-9.181139,61,57.909075
276.450177,200,58.678796
38.020379,53,58.895922
15.603495,68,59.172323
-7.070332,62,59.429931
47.592271,64,59.660465
26.078238,47,59.828758
29.693393,96,60.183436
7.294183,45,60.376742
-0.972426,13,60.423715
5.010818,40,60.572402
2.257885,17,60.623832
25.709177,41,60.782813
12.360425,62,61.033096
40.253772,52,61.224527
-0.149734,78,61.548548
8.732352,24,61.648499
0.662317,21,61.735034
23.025317,54,61.953047
5.60425,22,62.045987
31.156829,95,62.42544
18.128395,65,62.697035
-0.202192,14,62.753559
15.525615,53,62.973221
251.918858,159,63.588567
5.316953,25,63.675732
3.674094,45,63.859004
12.300497,32,63.985501
24.410677,39,64.130356
3.322818,35,64.259657
7.490376,25,64.342921
-2.111345,10,64.374476
37.955614,96,64.711033
-0.656829,70,74.13416
2.957117,19,74.208777
4.852991,29,74.338307
19.300909,111,74.741956
9.253464,85,75.108501
4.140766,25,75.203489
322.544347,198,75.957512
1.40461,28,76.073783
4.759939,21,76.155905
200.367602,114,76.548329
25.351106,59,76.807114
63.152802,143,77.388425
92.807431,129,77.887152
58.757158,133,78.400159
28.1751,52,78.583017
-5.851784,13,78.630446
51.136907,91,78.989121
14.866434,39,79.14289
-10.527031,55,79.367687
24.577964,42,79.540639
31.74155,113,80.017615
18.279857,42,80.172875
3.294907,19,80.262788
104.699463,136,80.804456
6.378478,26,80.91504
-2.211875,15,80.981781
255.50859,156,81.604979
14.467739,73,81.850957
80.252299,85,90.978401
27.31469,38,91.110454
185.461597,118,91.568948
110.199588,151,92.084627
158.024453,204,92.862474
293.675023,178,93.656133
85.706689,92,94.030999
26.720284,63,94.283509
50.945824,74,94.603133
228.52403,128,95.146545
9.491768,31,95.263732
21.1254,46,95.423569
-0.806121,96,95.737413
30.613245,85,96.0595
17.767861,35,96.185732
42.057995,110,96.658488
16.457711,37,96.797846
313.612194,215,97.611644
212.373908,142,98.15077
29.445436,223,108.108772
84.609025,144,108.659858
12.691464,28,108.777983
223.342501,234,109.656459
50.929036,233,110.640266
10.04611,97,111.045121
327.88467,225,111.936806
247.139948,201,112.776261
181.466771,264,114.198899
68.060815,73,114.604142
-3.31287,10,114.636287
78.557793,90,115.008802
24.129512,42,115.150842
40.771021,79,115.481206
45.778974,125,115.928396
266.451879,161,125.683166
32.701141,134,126.20003
335.6194,422,127.924348
161.609359,143,128.489544
296.287125,192,129.262777
97.381476,121,129.745603
23.015699,62,129.997155
306.138499,229,130.943978
77.113596,80,131.223813
145.756855,250,132.213088
80.220575,92,132.548699
11.642236,34,132.659379
158.357878,91,132.985159
35.920925,92,133.31435
426.4895,500,144.358866
371.57948,251,145.278621
278.028538,205,146.127099
408.174091,314,147.3544
214.21294,128,147.865542
275.458715,173,148.582976
30.692513,142,149.145942
309.926903,161,149.812683
307.395522,195,150.55831
158.542341,299,160.652709
20.724167,60,160.906644
338.213334,230,161.86005
47.196918,127,162.350015
239.332635,377,163.825687
95.043181,214,164.635446
94.93101,300,165.786613
309.897896,192,166.516003
116.575364,149,167.078874
283.780672,152,177.063443
285.142711,212,177.796461
528.767897,392,179.296781
102.448206,187,180.02536
237.511694,123,180.491212
351.280738,223,181.317512
44.821568,132,181.82887
378.249305,220,182.685433
385.896276,245,183.616243
441.519562,305,193.837965
354.601213,216,194.698486
362.623164,263,195.701572
