#{"t_start": 1769358938.5158334, "env_id": "CustomWalker2d-source-v0"}
r,l,t
-5.728345,17,5.854746
7.898422,21,5.918105
-2.654927,21,5.983763
-10.869594,23,6.070195
0.115532,15,6.116408
0.332129,18,6.172373
-5.982175,20,6.237981
-6.622535,11,6.270886
-4.733595,26,6.350343
5.951169,23,6.424158
-10.161764,13,6.463137
4.965588,19,6.519692
-2.064476,19,6.576963
-11.021411,17,6.628926
1.372805,28,6.712345
5.706061,19,6.767984
-14.287823,16,6.815945
-2.384954,13,6.855509
-3.786089,17,6.905306
-9.454323,25,6.980731
0.196158,19,7.041839
-3.058411,9,7.079414
3.057998,17,7.129711
0.780372,18,7.185198
-7.886827,19,7.245459
-6.15861,16,7.292369
-2.965277,24,7.362188
-1.948902,18,7.416347
12.194088,32,7.512743
-1.732553,21,7.576607
-1.182908,11,7.610355
-3.039511,16,7.660489
2.699926,16,7.707871
2.061073,20,7.767661
4.095235,30,7.857932
5.062079,26,7.935221
-7.536172,17,7.988546
0.116588,25,8.062331
3.446659,25,8.153472
-3.401721,8,8.178575
-2.780934,15,8.22846
-1.86736,15,8.273458
-3.756221,22,8.340013
-11.778806,14,8.382922
0.89257,16,8.432767
-5.430252,21,8.517027
0.684383,18,8.571848
1.163546,15,8.618419
1.653762,19,8.675412
-4.464762,15,8.71978
0.579952,19,8.77679
-1.774539,15,8.821967
-7.78892,16,8.868909
6.119809,22,8.933873
2.005282,13,8.972254
1.65175,11,9.006375
-2.135542,19,9.06356
1.68701,21,9.142574
-0.727257,12,9.182952
7.392847,28,9.288498
-3.86849,23,9.389671
1.323872,19,9.449086
5.91237,16,9.496459
-3.742375,20,9.56616
-5.611777,20,9.628407
-2.931694,16,9.682139
-2.4935,20,9.742831
0.697429,14,9.784287
-5.772811,16,9.832607
0.832404,22,9.898758
22.292887,46,10.038358
-5.78359,9,10.066956
-1.483031,10,10.098529
-7.154253,21,10.169233
-3.679814,14,10.220309
2.491499,13,10.259868
-4.734525,15,10.304712
-1.174662,21,10.367882
-14.648535,20,10.429984
-4.246127,12,10.465849
-6.951759,19,10.522662
-0.818599,20,10.581935
-2.034181,16,10.630924
-4.084453,22,10.696717
0.11672,25,10.770756
0.265631,27,10.854817
1.842692,13,10.893524
-7.883732,23,10.960996
3.72542,20,11.022279
-3.514908,12,11.057327
-2.896691,10,11.088366
-1.389408,25,11.162354
-1.108122,11,11.205396
1.991783,15,11.263763
1.7917,22,11.329764
-2.540426,21,11.416485
3.047745,15,11.495041
3.189436,32,11.647034
6.252157,23,11.754946
-3.329078,9,11.794942
-1.713142,11,11.850041
-3.460109,20,11.940655
-4.839703,8,11.979018
-0.455521,16,12.054095
-5.607054,11,12.107076
-2.337823,23,12.217153
-1.880891,14,12.30005
-3.523409,14,12.365496
-2.675153,16,12.440987
3.263211,20,12.529991
-5.530552,15,12.597579
3.471772,20,30.730386
5.613166,20,30.791111
-9.293853,15,30.839282
6.598336,21,30.902578
-2.456164,13,30.94196
21.808865,45,31.080564
-0.011715,36,31.21795
3.337067,32,31.318628
2.844614,42,31.44615
21.761763,42,31.573547
-0.246248,21,31.637491
10.020538,28,31.724553
8.159898,27,31.805764
-4.073654,8,31.83054
1.203352,12,31.868595
3.640938,18,31.922814
5.361744,21,31.986423
-2.58149,30,32.077544
3.653021,22,32.14823
6.216104,25,32.245876
36.205879,53,32.410006
-2.75286,14,32.452974
5.000407,18,32.507035
-5.573097,23,32.575905
9.343892,30,32.667724
11.700883,31,32.762866
11.710218,28,32.846433
-3.48219,12,32.883405
3.396932,16,32.930898
5.911135,25,33.00695
-1.36606,10,33.037067
2.813374,18,33.092822
-2.630014,9,33.120419
-1.343055,60,33.324692
-7.679822,24,33.395281
-7.852437,20,33.455848
-2.600574,14,33.498542
18.041002,35,33.602131
-1.538811,9,33.633039
14.835342,27,33.715953
0.264673,15,33.760121
3.595191,18,33.814726
-4.234152,11,33.848223
2.526149,26,33.928418
0.186555,13,33.966085
-3.152037,52,34.136419
8.495549,24,34.211561
5.61347,23,34.301754
13.586505,26,34.383932
-3.446751,10,34.416503
2.843376,19,34.476017
-0.266465,11,34.509593
6.93801,27,34.591907
0.362153,13,34.632993
-2.071052,17,34.685059
0.12257,17,34.738163
4.468072,19,34.794923
13.039322,37,34.90583
-0.565679,13,34.945441
-10.392713,25,35.020382
2.014669,18,35.073195
-7.880473,18,35.1277
0.837457,15,35.173332
3.418546,20,35.239448
6.911972,24,35.321655
6.847588,36,35.452193
8.438712,26,35.530513
3.208301,16,35.579271
1.172886,17,35.632531
5.707901,27,35.717553
0.077207,13,35.757876
-3.848812,20,35.818857
28.702446,36,35.928587
-1.556315,17,35.981379
6.873503,24,36.053974
-4.664476,16,36.104146
9.607618,31,36.203651
-2.671347,22,36.293462
-5.065146,12,36.36376
0.324206,14,36.447173
1.236592,13,36.513747
1.298847,20,36.607432
6.893167,31,36.751563
1.420522,15,36.823661
-3.823893,13,36.885631
-1.999403,13,36.946252
0.723744,13,37.008632
-8.028391,19,37.098082
6.678554,40,37.30307
6.197647,33,37.460118
9.995597,20,37.551745
-4.005601,25,37.666189
12.72781,28,55.834516
2.471082,11,55.873914
2.107332,15,55.921569
18.794922,34,56.025316
10.1694,37,56.139222
4.015891,14,56.183229
10.897201,30,56.28508
9.822222,24,56.439734
3.542808,22,56.534352
49.675517,81,56.784553
34.187715,58,56.959863
53.545454,73,57.180119
0.765223,47,57.333365
10.625022,56,57.529196
28.079039,77,57.765275
10.775781,32,57.863879
44.966705,63,58.054685
16.217888,47,58.201344
3.341924,21,58.27116
9.999513,59,58.454447
-0.23566,11,58.504695
2.214316,21,58.567436
26.405729,79,58.810549
17.870586,60,58.991839
3.905458,28,59.076428
67.566795,69,59.291491
5.410544,19,59.355491
-1.688648,32,59.45656
2.864175,16,59.506974
1.550602,24,59.599536
1.449178,14,59.643751
28.377896,68,59.851199
6.926079,22,59.918335
9.942885,75,60.142777
2.78048,15,60.187186
27.535005,58,60.380339
2.666629,17,60.585765
26.063456,48,60.890868
-6.793013,22,60.95645
