#{"t_start": 1768469827.2786198, "env_id": "CustomWalker2d-source-v0"}
r,l,t
-7.848178,11,2.073392
-4.285494,15,2.180104
-10.955678,19,2.306441
2.124615,20,2.402326
-9.352812,14,2.461632
-7.246529,12,2.501013
-6.52792,10,2.534192
-6.294606,10,2.572987
-7.085741,7,2.60586
-6.429307,26,2.715825
3.157334,20,2.784802
-6.861695,18,2.847874
-0.666529,28,2.951899
6.598439,33,3.089002
-4.506819,17,3.14469
-4.348529,21,3.215633
-7.806913,10,3.249599
2.357244,40,3.400458
-12.511784,20,3.469352
-9.143875,23,3.550417
-0.285695,14,3.61008
-3.703761,13,3.652086
-2.660376,11,3.700963
-3.389792,14,3.747495
-9.197376,16,3.800318
1.841808,18,3.865117
-0.510371,21,3.945607
-3.695961,9,3.976504
-4.018381,35,4.102959
2.140742,21,4.187019
-7.361122,12,4.2336
-7.812344,9,4.270106
1.39837,17,4.348166
-3.069228,13,4.419169
-5.163827,10,4.483032
4.757219,23,4.613364
17.047062,41,4.806924
-5.243894,10,4.855829
-3.051221,11,4.901808
-12.75854,23,4.985262
0.483048,18,5.050198
-7.476075,10,5.085506
-4.419457,14,5.140229
-8.448934,12,5.180672
-6.367901,14,5.227633
-0.703994,15,5.28453
-4.1644,19,5.358397
-8.767709,16,5.434402
-1.286629,31,5.541063
11.57417,30,5.664908
-8.107612,14,5.716372
-7.369336,15,5.765184
-11.570076,23,5.846992
-6.846832,15,5.895741
-2.511536,21,5.96688
-4.971929,12,6.006508
-7.124899,22,6.079395
-3.610092,20,6.146607
-3.680069,8,6.174365
-2.403443,17,6.233427
-9.152551,18,6.299106
-1.432126,17,6.363811
-3.415394,14,6.412535
-9.059532,12,6.451909
-5.130205,18,6.514502
-6.992067,16,6.568208
-16.356844,13,6.615201
-6.056306,9,6.644715
-8.210209,14,6.691471
-7.008045,16,6.772187
-8.035442,13,6.853524
-5.166011,13,6.938051
-3.310832,17,6.99953
-8.851735,8,7.026571
-5.12867,10,7.08348
-6.442297,19,7.165283
-6.274539,13,7.209
-10.795976,20,7.277949
-3.998908,16,7.333659
3.28294,26,7.44441
1.473939,16,7.496296
-1.026731,14,7.546891
-0.93835,35,7.66329
-7.141795,12,7.704218
-1.019988,19,7.774561
-0.632114,15,7.824693
-13.835696,18,7.884036
-3.795118,19,7.968575
-3.98252,23,8.042855
-6.77906,8,8.080728
-6.686144,11,8.144099
1.241783,23,8.222579
1.770059,27,8.312024
-8.288752,11,8.349476
0.486466,17,8.415303
-7.749104,13,8.456753
-9.183315,15,8.505633
-2.188463,16,8.565743
-17.55342,17,8.629109
-3.912338,23,8.719647
0.694289,28,8.814148
-9.856301,10,8.86318
-1.287639,10,8.89874
-3.044453,15,8.959569
-4.012427,10,9.020532
-0.026175,11,9.131978
5.525681,35,9.367409
-0.890258,11,9.419255
-2.528062,15,9.499357
-12.814615,37,9.713714
-2.783898,10,9.767068
-7.623659,29,9.914382
3.621276,14,9.986597
-3.480484,15,10.062992
-8.352918,8,10.098491
-3.36989,22,10.207869
-4.550797,18,10.270382
-8.053659,14,10.329219
-5.392265,24,16.702741
-2.188888,13,16.750952
1.575442,15,16.803705
-1.524961,18,16.869207
-0.839071,14,16.930514
-2.664208,9,16.959453
-0.094905,27,17.063028
-5.445792,23,17.147581
-0.033875,15,17.196111
-5.053784,21,17.270297
-8.30204,15,17.332455
-0.043421,13,17.39409
4.527342,22,17.47023
-2.872049,17,17.527425
-0.02763,15,17.580333
8.088688,25,17.677992
-8.739958,29,17.791252
22.197014,46,17.958917
-17.518692,63,18.180174
-4.293461,13,18.223368
-6.34594,20,18.313694
6.252277,41,18.565043
-0.609456,12,18.646263
-0.248989,13,18.728409
-1.036667,14,18.781623
-0.323251,15,18.857672
0.942457,24,18.954009
8.79623,36,19.077723
-1.933545,17,19.152397
-4.587613,28,19.257136
2.482708,26,19.378109
6.85685,38,19.569434
-1.509931,16,19.652461
4.176599,45,19.820279
-6.971452,16,19.87823
11.312738,36,20.03349
20.717376,34,20.162498
6.835068,31,20.264302
-1.632053,14,20.313291
0.492321,26,20.428463
-4.259023,11,20.480064
-2.278938,11,20.520293
-4.415561,14,20.579739
-8.431156,9,20.615424
3.09816,18,20.706603
-11.035372,21,20.78973
-8.667383,23,20.929803
-10.302845,20,21.05848
7.294859,31,21.20546
-0.431438,17,21.266989
-0.867945,12,21.320753
-6.1054,12,21.365308
-6.553032,12,21.410394
-7.795912,17,21.510892
-6.986366,59,21.748816
-2.234202,10,21.784463
-5.388072,17,21.84264
-0.605473,20,21.913598
4.455908,22,22.000637
-1.247615,22,22.074577
6.167539,31,22.201021
0.886141,39,22.349761
-7.551421,14,22.423727
4.205946,33,22.597152
-2.223473,15,22.677435
-5.311686,41,22.894923
0.757827,29,23.02797
-3.361551,21,23.138532
9.379122,33,23.354997
-2.433354,13,23.411532
-0.718285,12,23.463919
-2.106439,16,23.549622
-1.381022,30,23.693141
-4.159481,32,23.852896
0.249759,19,24.059882
-5.286742,12,24.132287
-4.188165,14,24.196448
-0.771858,28,24.322228
0.461551,20,24.417506
-0.03901,11,24.459944
-7.770711,15,24.52051
-5.444696,13,24.583507
19.090826,32,24.735034
-2.199289,10,24.790815
-2.271404,24,24.90685
-2.284534,15,24.988852
-4.541359,12,25.042455
1.027239,17,25.114239
-5.493993,22,25.196295
-0.776223,17,25.2565
10.378497,27,25.373929
2.737301,18,25.462426
-0.049042,18,25.56924
10.009477,35,25.772552
-13.746967,30,32.210418
23.855019,49,32.409943
11.854359,68,32.769548
15.673803,37,32.929849
-2.471028,24,33.0272
-5.113171,23,33.123962
7.779753,36,33.288308
17.166205,44,33.494332
13.281753,28,33.616573
-3.116258,34,33.767042
-3.605135,8,33.794713
0.925944,28,33.908094
-3.951659,11,33.948637
-3.040005,11,33.998208
16.098984,28,34.099664
9.430313,47,34.280432
-3.84596,11,34.317578
27.235149,64,34.54845
2.314226,21,34.622408
5.305088,22,34.704108
-2.895268,10,34.743546
-3.013267,21,34.838164
2.719633,19,34.948687
-3.550243,27,35.11273
7.860969,38,35.276935
16.053004,34,35.422731
16.836907,46,35.615408
5.931034,17,35.678893
31.148294,62,35.909765
-7.472889,10,35.942753
