#{"t_start": 1769420606.1328678, "env_id": "CustomWalker2d-source-v0"}
r,l,t
-2.438967,19,1.312098
-3.962853,11,1.356001
-3.858651,14,1.418162
-0.925816,19,1.487283
0.397587,22,1.54966
-5.935448,10,1.584638
-10.364598,12,1.616407
7.061867,19,1.675241
-1.688379,12,1.715456
-5.24816,7,1.733266
-0.737765,18,1.796406
-2.609668,11,1.828804
-7.049366,9,1.85852
3.964436,18,1.918035
-5.05533,14,1.952147
-1.044309,13,1.985994
13.255673,33,3.830375
7.277769,40,3.964664
-0.44212,27,4.057419
4.748171,22,4.123363
-0.833096,15,4.160591
-0.183197,12,4.195757
-0.110424,15,4.234322
3.771864,20,4.284777
3.456165,21,4.347235
3.843271,18,4.403641
6.315657,35,4.50517
-1.629562,19,4.571878
2.082209,28,6.24645
2.163035,20,6.298208
-1.899358,10,6.334084
1.091407,20,6.40355
12.441405,36,6.524387
0.112261,31,6.666465
13.181535,32,6.79185
15.764246,37,6.9266
4.082543,15,6.994841
8.320395,35,9.165
59.220071,100,9.553319
7.921401,42,9.70911
3.388187,13,9.761719
14.34972,28,9.870313
9.5611,70,10.138706
30.826896,58,12.449127
67.500709,90,12.776046
53.367794,99,13.153182
-0.914062,11,13.196671
38.136266,84,15.573759
72.018346,115,16.020983
83.787641,146,18.627471
207.123667,127,19.106105
14.453951,43,21.34297
116.943025,189,22.090877
167.756907,108,24.521586
288.762274,159,25.1834
97.812851,164,27.842803
122.869523,88,28.199032
191.482997,114,30.710189
317.454985,213,33.554324
205.280282,114,34.041061
263.275938,147,36.653981
37.644415,64,36.90485
50.79968,168,37.634629
218.707337,140,40.319428
343.614616,276,43.61706
213.434997,133,46.214382
262.322227,154,46.836681
344.95318,240,49.945392
210.369853,113,52.560604
74.5186,182,53.295525
323.981315,182,56.213064
204.626958,113,56.650288
231.136057,120,59.182415
209.071325,116,59.738433
266.658227,148,62.334032
271.990799,140,64.75509
214.129727,112,65.21087
311.975434,199,68.157415
259.995098,139,68.74478
241.460657,127,71.387005
327.488384,193,74.573572
268.260951,165,75.325136
402.289323,230,78.511165
320.651254,186,81.438606
449.044579,262,84.618337
326.965698,161,85.275091
349.689788,178,88.052695
349.257478,175,90.611733
335.853249,151,91.200543
288.580825,149,94.212232
265.583363,122,94.669407
349.579129,159,97.241107
306.938487,150,100.362126
224.812961,111,100.829304
323.581954,164,103.645623
326.506648,160,104.286097
419.175792,252,107.415878
292.138052,139,109.921694
288.116608,124,110.474714
318.69022,168,113.542267
350.72249,176,116.41408
408.556584,202,119.129293
374.769992,160,120.280856
438.683348,211,123.006701
300.566821,150,125.733863
334.695542,155,126.379442
295.221502,136,129.469876
399.757311,181,130.32121
406.284053,194,133.462209
279.94603,122,136.321998
342.057377,140,136.970113
340.298672,158,139.829292
414.189058,179,140.634642
376.857307,161,143.501998
418.913027,181,146.523108
272.665537,129,147.122507
347.345681,146,149.884074
352.466607,157,152.794118
367.169368,145,153.404451
431.128133,182,156.482896
484.52385,212,159.629252
406.473333,169,160.393741
399.221283,156,163.158446
272.40398,125,163.652623
389.977204,168,166.6305
444.463669,185,169.625545
414.525984,181,170.39748
435.321025,202,173.505583
462.197749,182,176.68004
526.612191,209,179.847589
428.665132,163,180.537471
498.46298,177,183.431902
451.415057,185,186.301012
304.55182,123,186.817095
453.463685,179,189.617737
498.370226,204,192.861392
443.924799,177,195.722195
440.086422,181,196.498963
453.854949,169,199.29115
537.091349,213,202.361014
478.30169,195,203.143712
293.17156,128,205.79358
465.588307,166,208.613258
425.705957,160,209.268581
502.037827,179,212.19923
454.630122,176,215.305058
390.853406,159,216.023628
487.100923,181,218.870708
449.69243,175,221.778912
564.995909,197,222.627772
450.640209,171,225.448044
597.444528,225,228.514247
501.161667,192,231.429079
413.504084,164,232.087173
426.60113,163,235.175144
614.572355,220,238.370764
581.635282,204,241.431269
463.565512,185,242.219979
598.790917,215,245.32391
576.631659,198,247.784044
461.081221,166,250.098305
614.233236,223,250.856982
495.798165,175,253.174766
541.939778,187,255.845305
537.629843,187,258.488386
554.606081,193,259.182098
629.526582,209,261.66686
407.897465,154,264.105997
517.573229,183,266.992244
391.240877,150,267.555239
581.835877,206,270.096541
668.762248,233,272.688438
448.351852,160,273.277742
520.008274,198,275.672673
570.60386,206,278.435913
574.2639,193,281.443569
512.613691,185,284.476947
594.949217,207,285.337282
618.693315,217,288.510611
412.62647,157,291.27697
563.137868,189,294.363257
590.639597,202,295.415326
622.019972,206,298.948421
587.382417,199,302.097977
538.362452,181,305.387212
581.23684,199,306.32305
630.596367,216,309.821687
561.060495,204,312.78088
617.091026,207,315.822109
370.184569,139,316.424142
422.253054,147,319.54497
607.140369,197,322.748668
615.257345,212,326.342223
560.037457,205,327.313409
545.096062,191,330.335399
620.760102,212,333.477218
551.898101,197,336.49972
577.625529,193,337.367324
649.960209,224,340.492814
651.239672,245,343.811076
531.878272,186,346.838835
684.232538,229,350.132187
707.191452,250,353.601812
646.200348,219,357.168288
602.614202,207,360.574877
616.905256,224,361.711424
630.328819,200,365.154958
653.432255,214,368.186316
650.927065,218,371.317329
613.942577,198,374.26371
599.199119,198,375.117373
566.318596,206,378.094255
613.39923,213,381.151451
629.667762,216,384.130151
683.885455,231,387.227774
329.799419,126,387.737745
685.174425,233,391.165659
718.580002,248,394.248521
728.994946,249,397.772314
614.784069,204,401.091128
552.730736,180,403.999477
662.953162,219,404.912228
692.644518,236,408.300852
401.050583,190,411.421126
490.76723,179,414.423921
690.016879,234,418.344685
667.667881,211,421.859485
760.74277,237,425.459146
547.499199,173,426.230662
724.555923,230,429.650836
593.144708,194,432.746619
583.499606,191,435.987023
289.18598,111,436.584138
727.812032,236,439.98159
698.882501,222,443.424684
741.49062,229,446.887299
790.586298,259,450.283386
700.949998,221,453.524073
686.044153,223,454.519718
743.321644,235,458.057102
644.956837,206,461.436346
758.140361,244,464.889692
809.016545,244,468.501715
783.256877,236,472.285532
779.310576,235,475.674707
823.609698,246,479.27583
644.262798,207,482.361826
737.281603,231,485.607449
630.313238,203,486.508837
727.723401,221,489.595717
619.594985,204,492.695842
756.308689,239,496.116044
832.738643,260,499.498972
695.010871,219,502.745082
629.16916,194,506.243252
770.786236,231,509.880414
688.727639,219,510.991453
720.368964,241,514.735628
844.469452,256,518.830048
764.590249,269,522.206741
923.547078,275,526.920534
799.029293,242,530.166595
627.08895,197,533.457303
778.702868,240,536.327883
653.130868,202,539.468426
731.096511,241,542.172245
701.169773,222,546.213762
855.733072,258,549.342121
710.812389,231,551.957428
730.49906,227,552.693449
817.095783,253,555.548982
696.966035,234,558.199291
695.33567,223,560.755398
823.326411,258,563.420486
738.462796,246,566.477098
764.312803,233,570.116575
737.286154,255,573.746994
764.439947,230,577.75683
731.362684,231,581.885159
784.326722,251,586.185437
827.06421,262,590.388558
642.688227,203,594.427586
880.555885,267,599.085819
704.299881,224,603.457623
725.311314,218,607.777997
726.366771,230,609.018046
